	words	D.Copperfield	Q.Universe	U.Physics	A.Brain	Youth	Total
3901	topics	5.0	7.0	0.0	0.0	6.0	18.0
15339	tissue	0.0	2.0	3.0	11.0	2.0	18.0
1463	terrible	16.0	1.0	0.0	1.0	0.0	18.0
14317	tech	0.0	5.0	6.0	3.0	4.0	18.0
6581	surrounding	2.0	0.0	5.0	5.0	6.0	18.0
6998	suns	2.0	0.0	0.0	0.0	16.0	18.0
1829	sub	12.0	3.0	1.0	0.0	2.0	18.0
4524	string	4.0	1.0	12.0	0.0	1.0	18.0
1642	stones	14.0	0.0	4.0	0.0	0.0	18.0
14410	steve	0.0	4.0	6.0	1.0	7.0	18.0
1726	song	13.0	1.0	0.0	0.0	4.0	18.0
1304	solemn	18.0	0.0	0.0	0.0	0.0	18.0
1291	shillings	18.0	0.0	0.0	0.0	0.0	18.0
17178	sensors	0.0	1.0	8.0	6.0	3.0	18.0
14703	scien	0.0	3.0	2.0	12.0	1.0	18.0
1755	scene	13.0	2.0	1.0	1.0	1.0	18.0
1348	sang	18.0	0.0	0.0	0.0	0.0	18.0
1411	sacred	17.0	0.0	1.0	0.0	0.0	18.0
3941	rule	5.0	5.0	1.0	3.0	4.0	18.0
1374	ridiculous	17.0	0.0	1.0	0.0	0.0	18.0
3692	reward	5.0	0.0	0.0	12.0	1.0	18.0
1357	request	17.0	0.0	0.0	0.0	1.0	18.0
1651	remaining	14.0	1.0	2.0	0.0	1.0	18.0
1292	reection	18.0	0.0	0.0	0.0	0.0	18.0
14209	records	0.0	8.0	0.0	7.0	3.0	18.0
1955	recognized	11.0	2.0	3.0	2.0	0.0	18.0
17703	reaction	0.0	1.0	5.0	6.0	6.0	18.0
1367	rang	17.0	0.0	1.0	0.0	0.0	18.0
1863	raising	12.0	3.0	1.0	1.0	1.0	18.0
18310	ptsd	0.0	0.0	13.0	5.0	0.0	18.0
1807	proposal	13.0	3.0	0.0	1.0	1.0	18.0
1375	promised	17.0	0.0	0.0	1.0	0.0	18.0
8537	privacy	1.0	0.0	0.0	13.0	4.0	18.0
1391	pressed	17.0	0.0	0.0	1.0	0.0	18.0
1507	pres	16.0	1.0	1.0	0.0	0.0	18.0
14105	planck	0.0	15.0	3.0	0.0	0.0	18.0
6193	physicians	2.0	4.0	8.0	3.0	1.0	18.0
14428	philip	0.0	4.0	6.0	6.0	2.0	18.0
1561	pace	15.0	1.0	1.0	1.0	0.0	18.0
14235	organization	0.0	7.0	1.0	8.0	2.0	18.0
8304	october	1.0	8.0	0.0	0.0	9.0	18.0
1345	occupied	18.0	0.0	0.0	0.0	0.0	18.0
15007	obesity	0.0	2.0	3.0	7.0	6.0	18.0
1365	ngers	17.0	0.0	0.0	1.0	0.0	18.0
1400	nev	17.0	0.0	0.0	1.0	0.0	18.0
1323	morn	18.0	0.0	0.0	0.0	0.0	18.0
5678	moreover	3.0	4.0	4.0	6.0	1.0	18.0
4173	missing	4.0	3.0	2.0	5.0	4.0	18.0
1341	merry	18.0	0.0	0.0	0.0	0.0	18.0
23392	memphis	0.0	0.0	0.0	0.0	18.0	18.0
13754	measuring	1.0	4.0	2.0	9.0	2.0	18.0
7000	map	2.0	1.0	3.0	5.0	7.0	18.0
5491	male	3.0	7.0	1.0	1.0	6.0	18.0
1705	locked	13.0	0.0	1.0	4.0	0.0	18.0
1339	lethe	18.0	0.0	0.0	0.0	0.0	18.0
1558	lessons	15.0	0.0	0.0	2.0	1.0	18.0
1395	knocked	17.0	0.0	0.0	0.0	1.0	18.0
14332	jen	0.0	5.0	3.0	2.0	8.0	18.0
7923	involve	2.0	5.0	1.0	7.0	3.0	18.0
8214	intense	2.0	3.0	4.0	5.0	4.0	18.0
5921	injuries	3.0	6.0	0.0	9.0	0.0	18.0
3902	injured	5.0	3.0	1.0	9.0	0.0	18.0
14278	increases	0.0	6.0	6.0	3.0	3.0	18.0
1328	inclined	18.0	0.0	0.0	0.0	0.0	18.0
2233	importance	10.0	1.0	2.0	4.0	1.0	18.0
2091	ight	11.0	0.0	0.0	7.0	0.0	18.0
14466	hypothesis	0.0	4.0	5.0	0.0	9.0	18.0
1296	hung	18.0	0.0	0.0	0.0	0.0	18.0
3350	hopkins	6.0	4.0	3.0	3.0	2.0	18.0
1602	hopeful	14.0	0.0	1.0	0.0	3.0	18.0
4110	holds	4.0	3.0	1.0	3.0	7.0	18.0
1461	height	16.0	0.0	0.0	0.0	2.0	18.0
1691	harder	14.0	1.0	0.0	1.0	2.0	18.0
1369	habit	17.0	0.0	0.0	1.0	0.0	18.0
1496	gracious	16.0	1.0	0.0	0.0	1.0	18.0
1342	genteel	18.0	0.0	0.0	0.0	0.0	18.0
3997	gain	5.0	3.0	0.0	8.0	2.0	18.0
2546	fruit	8.0	0.0	5.0	1.0	4.0	18.0
5394	fees	3.0	8.0	0.0	0.0	7.0	18.0
14778	farms	0.0	3.0	0.0	0.0	15.0	18.0
1512	faith	15.0	2.0	0.0	0.0	1.0	18.0
3905	fairly	5.0	3.0	6.0	4.0	0.0	18.0
1372	eyebrows	17.0	0.0	0.0	1.0	0.0	18.0
14422	evolutionary	0.0	4.0	7.0	0.0	7.0	18.0
1388	establishment	17.0	0.0	1.0	0.0	0.0	18.0
2796	enormous	7.0	1.0	3.0	6.0	1.0	18.0
14532	enhance	0.0	4.0	0.0	11.0	3.0	18.0
11360	elements	1.0	7.0	3.0	4.0	3.0	18.0
2178	edward	10.0	2.0	2.0	2.0	2.0	18.0
1540	doubts	15.0	1.0	0.0	1.0	1.0	18.0
5388	details	3.0	4.0	1.0	1.0	9.0	18.0
1377	departed	17.0	0.0	0.0	1.0	0.0	18.0
1443	delicate	16.0	1.0	0.0	1.0	0.0	18.0
1572	decided	15.0	1.0	0.0	1.0	1.0	18.0
14222	currently	0.0	7.0	6.0	1.0	4.0	18.0
11036	creation	1.0	2.0	2.0	9.0	4.0	18.0
1295	countenance	18.0	0.0	0.0	0.0	0.0	18.0
3615	correct	5.0	1.0	3.0	5.0	4.0	18.0
3647	cooking	5.0	6.0	0.0	1.0	6.0	18.0
15043	controls	0.0	2.0	4.0	11.0	1.0	18.0
6657	controlled	2.0	3.0	2.0	9.0	2.0	18.0
1872	constant	12.0	0.0	1.0	5.0	0.0	18.0
2302	conducted	9.0	3.0	1.0	3.0	2.0	18.0
2513	concern	8.0	4.0	1.0	5.0	0.0	18.0
1312	compliments	18.0	0.0	0.0	0.0	0.0	18.0
4572	communications	4.0	2.0	3.0	2.0	7.0	18.0
5823	collision	3.0	4.0	10.0	0.0	1.0	18.0
14196	chicago	0.0	8.0	3.0	0.0	7.0	18.0
1349	chambers	18.0	0.0	0.0	0.0	0.0	18.0
1421	ceremony	17.0	0.0	0.0	0.0	1.0	18.0
1337	carriage	18.0	0.0	0.0	0.0	0.0	18.0
1647	carefully	14.0	1.0	0.0	1.0	2.0	18.0
18094	biggest	0.0	1.0	3.0	4.0	10.0	18.0
2345	beams	9.0	7.0	2.0	0.0	0.0	18.0
6136	battery	2.0	1.0	3.0	12.0	0.0	18.0
8234	barrier	2.0	2.0	1.0	8.0	5.0	18.0
12813	atoms	1.0	7.0	0.0	2.0	8.0	18.0
1641	ate	14.0	0.0	4.0	0.0	0.0	18.0
1360	astonished	17.0	0.0	0.0	0.0	1.0	18.0
2534	appropriate	8.0	3.0	2.0	3.0	2.0	18.0
8231	amounts	2.0	3.0	3.0	7.0	3.0	18.0
1301	amiable	18.0	0.0	0.0	0.0	0.0	18.0
1299	allusion	18.0	0.0	0.0	0.0	0.0	18.0
14188	agriculture	0.0	8.0	3.0	0.0	7.0	18.0
1317	agony	18.0	0.0	0.0	0.0	0.0	18.0
13281	agency	1.0	3.0	4.0	6.0	4.0	18.0
2459	advance	9.0	1.0	7.0	1.0	0.0	18.0
2113	accounts	11.0	1.0	1.0	5.0	0.0	18.0
1767	walks	13.0	0.0	1.0	1.0	2.0	17.0
1810	voyage	13.0	0.0	0.0	4.0	0.0	17.0
1529	voices	15.0	1.0	1.0	0.0	0.0	17.0
1834	victim	12.0	1.0	1.0	1.0	2.0	17.0
3792	value	5.0	3.0	6.0	2.0	1.0	17.0
3617	unusual	5.0	5.0	1.0	0.0	6.0	17.0
18307	unitarity	0.0	0.0	17.0	0.0	0.0	17.0
14328	uni	0.0	5.0	8.0	0.0	4.0	17.0
5522	unfortunately	3.0	5.0	3.0	1.0	5.0	17.0
2189	uncertain	10.0	6.0	1.0	0.0	0.0	17.0
1380	tumbled	17.0	0.0	0.0	0.0	0.0	17.0
15322	trauma	0.0	2.0	7.0	8.0	0.0	17.0
6854	tour	2.0	10.0	1.0	0.0	4.0	17.0
1703	strike	13.0	0.0	0.0	1.0	3.0	17.0
1580	steady	15.0	0.0	1.0	0.0	1.0	17.0
14677	statistics	0.0	3.0	1.0	8.0	5.0	17.0
4549	sports	4.0	10.0	0.0	2.0	1.0	17.0
1425	spectacles	17.0	0.0	0.0	0.0	0.0	17.0
14120	spacetime	0.0	13.0	4.0	0.0	0.0	17.0
14650	solve	0.0	3.0	6.0	0.0	8.0	17.0
1358	sobbing	17.0	0.0	0.0	0.0	0.0	17.0
7918	signs	2.0	3.0	2.0	5.0	5.0	17.0
1806	shortly	13.0	1.0	1.0	1.0	1.0	17.0
2847	shapes	7.0	7.0	3.0	0.0	0.0	17.0
3044	separate	7.0	1.0	0.0	6.0	3.0	17.0
1354	seldom	17.0	0.0	0.0	0.0	0.0	17.0
14491	satellite	0.0	4.0	8.0	0.0	5.0	17.0
1520	sad	15.0	1.0	0.0	1.0	0.0	17.0
1381	sacrice	17.0	0.0	0.0	0.0	0.0	17.0
1571	rusty	15.0	0.0	1.0	0.0	1.0	17.0
1412	rubbed	17.0	0.0	0.0	0.0	0.0	17.0
21012	robots	0.0	0.0	0.0	16.0	1.0	17.0
23394	restriction	0.0	0.0	0.0	0.0	17.0	17.0
1498	resting	16.0	0.0	0.0	1.0	0.0	17.0
2506	reserved	9.0	2.0	0.0	4.0	2.0	17.0
1550	repeat	15.0	2.0	0.0	0.0	0.0	17.0
2237	remembering	10.0	0.0	1.0	6.0	0.0	17.0
1824	referring	12.0	1.0	0.0	3.0	1.0	17.0
15384	reactions	0.0	2.0	4.0	3.0	8.0	17.0
23393	rapamycin	0.0	0.0	0.0	0.0	17.0	17.0
2850	random	7.0	2.0	3.0	3.0	2.0	17.0
14424	publisher	0.0	4.0	3.0	5.0	5.0	17.0
14257	provides	0.0	6.0	3.0	5.0	3.0	17.0
2645	proved	8.0	0.0	4.0	1.0	4.0	17.0
3811	promising	5.0	0.0	2.0	6.0	4.0	17.0
2096	proceedings	11.0	1.0	0.0	4.0	1.0	17.0
1414	pretence	17.0	0.0	0.0	0.0	0.0	17.0
2030	plenty	11.0	0.0	0.0	5.0	1.0	17.0
2058	plate	11.0	0.0	2.0	1.0	3.0	17.0
4239	phenomenon	4.0	2.0	5.0	0.0	6.0	17.0
1403	persuaded	17.0	0.0	0.0	0.0	0.0	17.0
2679	performed	8.0	3.0	1.0	3.0	2.0	17.0
2772	partial	7.0	1.0	3.0	2.0	4.0	17.0
2788	ose	7.0	0.0	0.0	10.0	0.0	17.0
1488	ordered	16.0	0.0	1.0	0.0	0.0	17.0
1598	omas	15.0	0.0	0.0	2.0	0.0	17.0
1468	occasionally	16.0	1.0	0.0	0.0	0.0	17.0
1924	obtained	12.0	1.0	2.0	1.0	1.0	17.0
2442	notion	9.0	1.0	2.0	1.0	4.0	17.0
8022	noted	2.0	2.0	1.0	5.0	7.0	17.0
21010	neurogenesis	0.0	0.0	0.0	17.0	0.0	17.0
3571	net	5.0	3.0	4.0	3.0	2.0	17.0
8235	nerves	2.0	2.0	1.0	10.0	2.0	17.0
14238	nearby	0.0	7.0	1.0	5.0	4.0	17.0
1511	narrative	15.0	2.0	0.0	0.0	0.0	17.0
18320	nanoparticles	0.0	0.0	9.0	8.0	0.0	17.0
1364	mutton	17.0	0.0	0.0	0.0	0.0	17.0
1518	moth	15.0	2.0	0.0	0.0	0.0	17.0
14739	monitoring	0.0	3.0	5.0	6.0	3.0	17.0
8204	monitor	2.0	2.0	5.0	5.0	3.0	17.0
1620	modest	14.0	2.0	0.0	0.0	1.0	17.0
1563	mis	15.0	2.0	0.0	0.0	0.0	17.0
4559	management	4.0	7.0	2.0	0.0	4.0	17.0
11956	males	1.0	8.0	6.0	0.0	2.0	17.0
1546	lonely	15.0	1.0	0.0	1.0	0.0	17.0
1404	leisure	17.0	0.0	0.0	0.0	0.0	17.0
1430	kite	17.0	0.0	0.0	0.0	0.0	17.0
2892	introduction	7.0	1.0	0.0	5.0	4.0	17.0
2209	introduced	10.0	1.0	3.0	1.0	2.0	17.0
10620	intel	1.0	1.0	14.0	1.0	0.0	17.0
3177	incident	6.0	2.0	3.0	3.0	3.0	17.0
1435	heerd	17.0	0.0	0.0	0.0	0.0	17.0
1683	hall	14.0	0.0	1.0	0.0	2.0	17.0
1548	gum	15.0	2.0	0.0	0.0	0.0	17.0
5019	grand	3.0	6.0	2.0	1.0	5.0	17.0
23395	glories	0.0	0.0	0.0	0.0	17.0	17.0
14199	getty	0.0	8.0	8.0	0.0	1.0	17.0
17833	functional	0.0	1.0	0.0	14.0	2.0	17.0
4015	forest	5.0	7.0	1.0	3.0	1.0	17.0
4897	feeding	3.0	3.0	9.0	0.0	2.0	17.0
1760	fate	13.0	1.0	1.0	1.0	1.0	17.0
1734	famous	13.0	1.0	2.0	0.0	1.0	17.0
1643	expressions	14.0	0.0	0.0	2.0	1.0	17.0
14423	executive	0.0	4.0	2.0	5.0	6.0	17.0
9621	essential	1.0	5.0	1.0	3.0	7.0	17.0
14804	engineers	0.0	3.0	9.0	1.0	4.0	17.0
14203	engineer	0.0	8.0	5.0	2.0	2.0	17.0
2198	ended	10.0	0.0	0.0	3.0	4.0	17.0
1796	employment	13.0	1.0	0.0	2.0	1.0	17.0
21011	electroshock	0.0	0.0	0.0	17.0	0.0	17.0
14601	editorial	0.0	3.0	9.0	1.0	4.0	17.0
1521	doubtful	15.0	1.0	1.0	0.0	0.0	17.0
14183	dioxide	0.0	9.0	3.0	0.0	5.0	17.0
18306	dinosaurs	0.0	0.0	17.0	0.0	0.0	17.0
6022	detailed	3.0	3.0	6.0	4.0	1.0	17.0
1584	desperate	15.0	0.0	0.0	2.0	0.0	17.0
1541	deny	15.0	1.0	0.0	1.0	0.0	17.0
1456	dancing	16.0	0.0	0.0	1.0	0.0	17.0
1664	considerable	14.0	1.0	1.0	0.0	1.0	17.0
14305	conservation	0.0	6.0	4.0	0.0	7.0	17.0
2180	concerned	10.0	2.0	2.0	2.0	1.0	17.0
14997	code	0.0	2.0	1.0	13.0	1.0	17.0
3590	civil	5.0	3.0	0.0	7.0	2.0	17.0
2583	check	8.0	2.0	2.0	2.0	3.0	17.0
17826	cerebral	0.0	1.0	0.0	14.0	2.0	17.0
2933	breathing	7.0	0.0	1.0	6.0	3.0	17.0
2346	boxes	9.0	1.0	2.0	4.0	1.0	17.0
1428	bowed	17.0	0.0	0.0	0.0	0.0	17.0
1426	blossom	17.0	0.0	0.0	0.0	0.0	17.0
1690	blessing	14.0	1.0	1.0	1.0	0.0	17.0
1535	blank	15.0	0.0	0.0	2.0	0.0	17.0
14537	biologists	0.0	4.0	2.0	3.0	8.0	17.0
1694	belonging	14.0	0.0	1.0	0.0	2.0	17.0
4295	becomes	4.0	5.0	2.0	5.0	1.0	17.0
1362	basket	17.0	0.0	0.0	0.0	0.0	17.0
1656	assistance	14.0	0.0	1.0	0.0	2.0	17.0
1384	apron	17.0	0.0	0.0	0.0	0.0	17.0
1481	aloud	16.0	0.0	0.0	0.0	1.0	17.0
2781	aid	7.0	1.0	1.0	4.0	4.0	17.0
1593	accompanied	15.0	1.0	1.0	0.0	0.0	17.0
1432	abroad	17.0	0.0	0.0	0.0	0.0	17.0
2448	abilities	9.0	2.0	0.0	2.0	4.0	17.0
23398	ˆˇ	0.0	0.0	0.0	0.0	16.0	16.0
2029	wisdom	11.0	2.0	1.0	0.0	2.0	16.0
1565	wicked	15.0	0.0	0.0	1.0	0.0	16.0
1509	wheer	16.0	0.0	0.0	0.0	0.0	16.0
11117	whales	1.0	3.0	3.0	0.0	9.0	16.0
1663	wet	14.0	0.0	0.0	1.0	1.0	16.0
1508	waterbrook	16.0	0.0	0.0	0.0	0.0	16.0
18314	warnings	0.0	0.0	12.0	4.0	0.0	16.0
1531	uneasiness	15.0	0.0	0.0	1.0	0.0	16.0
14613	typical	0.0	3.0	7.0	1.0	5.0	16.0
1587	twins	15.0	0.0	0.0	1.0	0.0	16.0
3213	trip	6.0	4.0	1.0	1.0	4.0	16.0
1445	timid	16.0	0.0	0.0	0.0	0.0	16.0
1485	throat	16.0	0.0	0.0	0.0	0.0	16.0
1894	temple	12.0	0.0	0.0	3.0	1.0	16.0
7244	temperature	2.0	3.0	5.0	5.0	1.0	16.0
1608	temper	14.0	0.0	0.0	1.0	1.0	16.0
1959	teach	11.0	2.0	0.0	3.0	0.0	16.0
21013	synapses	0.0	0.0	0.0	16.0	0.0	16.0
8707	switch	1.0	1.0	2.0	9.0	3.0	16.0
2257	surely	10.0	2.0	2.0	0.0	2.0	16.0
2076	suitable	11.0	2.0	1.0	0.0	2.0	16.0
1436	suciently	16.0	0.0	0.0	0.0	0.0	16.0
2055	struggle	11.0	3.0	0.0	2.0	0.0	16.0
14232	strategy	0.0	7.0	4.0	1.0	4.0	16.0
17157	storage	0.0	1.0	4.0	9.0	2.0	16.0
5039	starts	3.0	4.0	4.0	1.0	4.0	16.0
2215	stands	10.0	3.0	1.0	0.0	2.0	16.0
14364	sophisticated	0.0	5.0	4.0	4.0	3.0	16.0
5667	solid	3.0	3.0	5.0	0.0	5.0	16.0
18351	software	0.0	0.0	6.0	0.0	10.0	16.0
1503	soened	16.0	0.0	0.0	0.0	0.0	16.0
1586	shoes	15.0	1.0	0.0	0.0	0.0	16.0
14726	sexual	0.0	3.0	1.0	9.0	3.0	16.0
4688	serve	4.0	2.0	2.0	4.0	4.0	16.0
15102	sends	0.0	2.0	4.0	10.0	0.0	16.0
18656	sections	0.0	0.0	2.0	13.0	1.0	16.0
1522	seated	15.0	0.0	0.0	1.0	0.0	16.0
14309	scales	0.0	5.0	8.0	1.0	2.0	16.0
14334	sales	0.0	5.0	5.0	0.0	6.0	16.0
1492	roused	16.0	0.0	0.0	0.0	0.0	16.0
1634	rolled	14.0	1.0	0.0	0.0	1.0	16.0
18350	retinal	0.0	0.0	6.0	10.0	0.0	16.0
1858	reside	12.0	0.0	1.0	2.0	1.0	16.0
14905	researcher	0.0	2.0	2.0	6.0	6.0	16.0
2870	remote	7.0	2.0	0.0	1.0	6.0	16.0
1855	relations	12.0	1.0	3.0	0.0	0.0	16.0
1920	relation	12.0	0.0	3.0	0.0	1.0	16.0
1448	refore	16.0	0.0	0.0	0.0	0.0	16.0
5785	recommended	3.0	6.0	3.0	1.0	3.0	16.0
2110	recalled	11.0	0.0	3.0	2.0	0.0	16.0
3458	raise	6.0	2.0	1.0	4.0	3.0	16.0
1772	qualities	13.0	0.0	0.0	1.0	2.0	16.0
1475	purse	16.0	0.0	0.0	0.0	0.0	16.0
6963	protect	2.0	6.0	6.0	0.0	2.0	16.0
1804	propose	13.0	1.0	0.0	0.0	2.0	16.0
14402	properties	0.0	4.0	5.0	2.0	5.0	16.0
1573	positively	15.0	1.0	0.0	0.0	0.0	16.0
1702	portion	13.0	0.0	1.0	1.0	1.0	16.0
1566	pockets	15.0	1.0	0.0	0.0	0.0	16.0
23396	pm	0.0	0.0	0.0	0.0	16.0	16.0
2503	opportunities	9.0	0.0	0.0	3.0	4.0	16.0
5264	observations	3.0	2.0	6.0	2.0	3.0	16.0
1809	obligation	13.0	2.0	0.0	0.0	1.0	16.0
18657	newborn	0.0	0.0	2.0	13.0	1.0	16.0
3201	nevertheless	6.0	1.0	1.0	5.0	3.0	16.0
10588	negative	1.0	3.0	5.0	3.0	4.0	16.0
1441	mutual	16.0	0.0	0.0	0.0	0.0	16.0
14472	motor	0.0	4.0	0.0	6.0	6.0	16.0
1493	motive	16.0	0.0	0.0	0.0	0.0	16.0
15314	molecular	0.0	2.0	1.0	8.0	5.0	16.0
14333	media	0.0	5.0	3.0	2.0	6.0	16.0
14143	mechanics	0.0	11.0	2.0	0.0	3.0	16.0
4383	measured	4.0	2.0	2.0	4.0	4.0	16.0
15359	mathematical	0.0	2.0	5.0	1.0	8.0	16.0
1900	marks	12.0	0.0	2.0	1.0	1.0	16.0
17202	manipulating	0.0	1.0	0.0	15.0	0.0	16.0
2657	mail	8.0	0.0	0.0	8.0	0.0	16.0
3969	losing	5.0	4.0	1.0	1.0	5.0	16.0
1469	lone	16.0	0.0	0.0	0.0	0.0	16.0
14645	location	0.0	3.0	7.0	2.0	4.0	16.0
1750	lled	13.0	2.0	0.0	1.0	0.0	16.0
5337	list	3.0	5.0	0.0	6.0	2.0	16.0
13518	limits	1.0	1.0	3.0	7.0	4.0	16.0
7824	limb	2.0	0.0	0.0	14.0	0.0	16.0
1491	leaned	16.0	0.0	0.0	0.0	0.0	16.0
14530	lack	0.0	4.0	3.0	5.0	4.0	16.0
1789	knock	13.0	0.0	1.0	1.0	1.0	16.0
12657	involves	1.0	3.0	2.0	7.0	3.0	16.0
3393	interview	6.0	2.0	2.0	4.0	2.0	16.0
1454	inquire	16.0	0.0	0.0	0.0	0.0	16.0
14274	innovation	0.0	6.0	3.0	0.0	7.0	16.0
14876	initiative	0.0	2.0	2.0	6.0	6.0	16.0
1552	hurriedly	15.0	0.0	0.0	0.0	1.0	16.0
1633	hotel	14.0	1.0	0.0	0.0	1.0	16.0
1504	gratitude	16.0	0.0	0.0	0.0	0.0	16.0
15759	gary	0.0	1.0	2.0	12.0	1.0	16.0
14657	francisco	0.0	3.0	2.0	5.0	6.0	16.0
1613	fault	14.0	1.0	1.0	0.0	0.0	16.0
1447	faintly	16.0	0.0	0.0	0.0	0.0	16.0
4992	extended	3.0	1.0	1.0	2.0	9.0	16.0
1543	enjoyed	15.0	0.0	0.0	1.0	0.0	16.0
2003	enemy	11.0	3.0	1.0	1.0	0.0	16.0
3604	encourage	5.0	3.0	2.0	2.0	4.0	16.0
2246	elsewhere	10.0	1.0	1.0	3.0	1.0	16.0
14414	electron	0.0	4.0	7.0	1.0	4.0	16.0
18517	electrode	0.0	0.0	3.0	13.0	0.0	16.0
2197	dusty	10.0	3.0	0.0	0.0	3.0	16.0
14749	drought	0.0	3.0	4.0	0.0	9.0	16.0
1479	dismal	16.0	0.0	0.0	0.0	0.0	16.0
1472	disgrace	16.0	0.0	0.0	0.0	0.0	16.0
1852	dirty	12.0	1.0	0.0	0.0	3.0	16.0
1922	dif	12.0	0.0	2.0	0.0	2.0	16.0
23397	de	0.0	0.0	0.0	0.0	16.0	16.0
14109	ddt	0.0	15.0	0.0	0.0	1.0	16.0
8514	daniel	1.0	2.0	10.0	0.0	3.0	16.0
3976	crush	5.0	0.0	0.0	0.0	11.0	16.0
14251	cruise	0.0	7.0	0.0	0.0	9.0	16.0
9720	crop	1.0	7.0	3.0	0.0	5.0	16.0
6369	criminal	2.0	0.0	3.0	7.0	4.0	16.0
3060	costs	7.0	3.0	0.0	1.0	5.0	16.0
14329	contains	0.0	5.0	3.0	5.0	3.0	16.0
1501	condential	16.0	0.0	0.0	0.0	0.0	16.0
1515	compassion	15.0	0.0	0.0	1.0	0.0	16.0
3340	communicate	6.0	1.0	1.0	7.0	1.0	16.0
2193	commission	10.0	0.0	1.0	1.0	4.0	16.0
3829	combined	5.0	2.0	3.0	4.0	2.0	16.0
1984	clean	11.0	2.0	1.0	1.0	1.0	16.0
14434	christiansen	0.0	4.0	3.0	2.0	7.0	16.0
1449	ceased	16.0	0.0	0.0	0.0	0.0	16.0
1923	cat	12.0	1.0	1.0	2.0	0.0	16.0
2165	cards	10.0	1.0	5.0	0.0	0.0	16.0
2826	butter	7.0	3.0	6.0	0.0	0.0	16.0
1670	bottle	14.0	0.0	1.0	0.0	1.0	16.0
1482	blessed	16.0	0.0	0.0	0.0	0.0	16.0
14267	bias	0.0	6.0	2.0	7.0	1.0	16.0
1465	beneath	16.0	0.0	0.0	0.0	0.0	16.0
1689	bench	14.0	0.0	0.0	1.0	1.0	16.0
1495	beggar	16.0	0.0	0.0	0.0	0.0	16.0
1941	assist	12.0	1.0	1.0	0.0	2.0	16.0
1692	aspect	14.0	1.0	0.0	0.0	1.0	16.0
3435	asks	6.0	4.0	1.0	2.0	3.0	16.0
1519	arrival	15.0	1.0	0.0	0.0	0.0	16.0
2669	answers	8.0	4.0	4.0	0.0	0.0	16.0
7710	anomalies	2.0	0.0	0.0	10.0	4.0	16.0
14459	analyzed	0.0	4.0	6.0	3.0	3.0	16.0
16893	alter	0.0	1.0	5.0	8.0	2.0	16.0
2260	alarm	10.0	0.0	0.0	3.0	3.0	16.0
1446	agitation	16.0	0.0	0.0	0.0	0.0	16.0
10770	accurate	1.0	0.0	6.0	7.0	2.0	16.0
1831	accepted	12.0	0.0	1.0	1.0	2.0	16.0
1878	abandoned	12.0	1.0	0.0	0.0	3.0	16.0
14206	ﬁbut	0.0	8.0	2.0	0.0	5.0	15.0
2001	wiping	11.0	1.0	1.0	2.0	0.0	15.0
1998	willing	11.0	0.0	2.0	2.0	0.0	15.0
1589	wilkins	15.0	0.0	0.0	0.0	0.0	15.0
1639	waited	14.0	0.0	1.0	0.0	0.0	15.0
2183	uncommon	10.0	2.0	0.0	0.0	3.0	15.0
23401	tunneling	0.0	0.0	0.0	0.0	15.0	15.0
1926	trusted	12.0	3.0	0.0	0.0	0.0	15.0
16205	transmitted	0.0	1.0	5.0	7.0	2.0	15.0
1916	trade	12.0	1.0	0.0	0.0	2.0	15.0
2660	topic	8.0	5.0	0.0	1.0	1.0	15.0
2418	tooth	9.0	1.0	4.0	1.0	0.0	15.0
1786	tongue	13.0	2.0	0.0	0.0	0.0	15.0
1577	thoughtful	15.0	0.0	0.0	0.0	0.0	15.0
2243	theme	10.0	1.0	1.0	1.0	2.0	15.0
14399	syndrome	0.0	4.0	0.0	11.0	0.0	15.0
1653	suspicion	14.0	1.0	0.0	0.0	0.0	15.0
14342	strategies	0.0	5.0	5.0	0.0	5.0	15.0
2880	strain	7.0	5.0	3.0	0.0	0.0	15.0
17403	storms	0.0	1.0	9.0	0.0	5.0	15.0
21017	stimulating	0.0	0.0	0.0	14.0	1.0	15.0
1637	stern	14.0	0.0	0.0	1.0	0.0	15.0
14951	skull	0.0	2.0	2.0	11.0	0.0	15.0
2042	sides	11.0	0.0	2.0	0.0	2.0	15.0
1794	shrunk	13.0	0.0	0.0	1.0	1.0	15.0
3907	shot	5.0	9.0	0.0	0.0	1.0	15.0
2261	shelter	10.0	0.0	5.0	0.0	0.0	15.0
1525	sentiment	15.0	0.0	0.0	0.0	0.0	15.0
2385	sentence	9.0	2.0	0.0	4.0	0.0	15.0
3417	sending	6.0	1.0	4.0	3.0	1.0	15.0
3530	sees	5.0	3.0	3.0	3.0	1.0	15.0
23400	schlesinger	0.0	0.0	0.0	0.0	15.0	15.0
18329	scattering	0.0	0.0	8.0	0.0	7.0	15.0
2696	salt	8.0	7.0	0.0	0.0	0.0	15.0
3724	runs	5.0	2.0	5.0	0.0	3.0	15.0
5174	rules	3.0	3.0	3.0	1.0	5.0	15.0
1757	roll	13.0	0.0	1.0	0.0	1.0	15.0
1866	rmly	12.0	0.0	0.0	3.0	0.0	15.0
21016	ritalin	0.0	0.0	0.0	15.0	0.0	15.0
17548	resonance	0.0	1.0	0.0	11.0	3.0	15.0
2449	represented	9.0	1.0	3.0	2.0	0.0	15.0
14443	reports	0.0	4.0	2.0	4.0	5.0	15.0
18816	replacement	0.0	0.0	2.0	12.0	1.0	15.0
